1. HTML Stands for _____________.,A. Hyper Text Markup Language,B. Hyper Tech Markup Language,C. None of these,D. Hyper Text Makeup Language,A. Hyper Text Markup Language
2. HTML tags are used to describe document ___________.,A. Content,B. Language,C. None of these,D. Definition,A. Content
3. In HTML we have _________ type of heading tags.,A. 7,B. 5,C. 4,D. 6,D. 6
4. Choose the correct HTML tag to make the text bold?,A. < B>,B. < BOLD >,C. < STRONG >,D. Both A) and C),D. Both A) and C)
5. Which is not a core attribute of html tags,A. ID,B. Title,C. font,D. class,C. font
6. Head tag is used for?,A. Writing styles,B. Writing java Scripts,C. Including css & js files,D. All of above,D. All of above
7. What is the correct HTML tag for inserting a line break?,A. < br >,B. < lb >,C. < break >,D. < newline >,A. < br >
8. HTML document start and end with which tag pairs?,A. < HEAD >…. < /HEAD >,B. < BODY >…. < /BODY >,C. < HTML >…. < /HTML >,D. < WEB >…. < /WEB >,C. < HTML >…. < /HTML >
9. <TITLE> … </TITLE> tag must be within ________,A. Title,B. Form,C. Head ,D. Body,C. Head 
10. All HTML tags are enclosed in what ?,A. < >,B. < ?php and ? >,C. # and #,D. < !—and -- >,A. < >
